data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer4,1,GradPCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.993199348449707
butterfly,layer4,1,PCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.5
butterfly,layer4,1,PRCASortAbs,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.5
butterfly,layer4,1,PRCAPosDef,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.5
butterfly,layer4,16,GradPCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9947462677955627
butterfly,layer4,16,PRCAPosDef,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9947018027305603
butterfly,layer4,16,PRCASortAbs,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9946317672729492
butterfly,layer4,16,PCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9656091332435608
butterfly,layer4,32,PRCASortAbs,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9948583245277405
butterfly,layer4,32,GradPCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9932255744934082
butterfly,layer4,32,PRCAPosDef,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9932198524475098
butterfly,layer4,32,PCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9864250421524048
butterfly,layer4,48,PRCAPosDef,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9932698011398315
butterfly,layer4,48,GradPCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9932687282562256
butterfly,layer4,48,PRCASortAbs,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9932625889778137
butterfly,layer4,48,PCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9915264248847961
butterfly,layer4,64,PRCAPosDef,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.993287980556488
butterfly,layer4,64,PRCASortAbs,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9932842254638672
butterfly,layer4,64,GradPCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.993282675743103
butterfly,layer4,64,PCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9915720820426941
