data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer4,1,GradPCA,SelectNSamples(N=∞),select-all,0.992682695388794
butterfly,layer4,1,PCA,SelectNSamples(N=∞),select-all,0.5
butterfly,layer4,1,PRCASortAbs,SelectNSamples(N=∞),select-all,0.5
butterfly,layer4,1,PRCAPosDef,SelectNSamples(N=∞),select-all,0.5
butterfly,layer4,16,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9937212467193604
butterfly,layer4,16,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9936437010765076
butterfly,layer4,16,GradPCA,SelectNSamples(N=∞),select-all,0.9934861063957214
butterfly,layer4,16,PCA,SelectNSamples(N=∞),select-all,0.9731635451316833
butterfly,layer4,32,GradPCA,SelectNSamples(N=∞),select-all,0.9943565726280212
butterfly,layer4,32,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9942701458930969
butterfly,layer4,32,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9942131042480469
butterfly,layer4,32,PCA,SelectNSamples(N=∞),select-all,0.9825481176376343
butterfly,layer4,48,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9944924116134644
butterfly,layer4,48,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9929159283638
butterfly,layer4,48,GradPCA,SelectNSamples(N=∞),select-all,0.9928616881370544
butterfly,layer4,48,PCA,SelectNSamples(N=∞),select-all,0.9890998601913452
butterfly,layer4,64,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9945617914199829
butterfly,layer4,64,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9930217266082764
butterfly,layer4,64,GradPCA,SelectNSamples(N=∞),select-all,0.992989182472229
butterfly,layer4,64,PCA,SelectNSamples(N=∞),select-all,0.9895133376121521
