data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer4,1,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9926880598068237
butterfly,layer4,1,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.5
butterfly,layer4,1,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.5
butterfly,layer4,1,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.5
butterfly,layer4,16,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.99424809217453
butterfly,layer4,16,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9942425489425659
butterfly,layer4,16,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9941315054893494
butterfly,layer4,16,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.6081348061561584
butterfly,layer4,32,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9946882128715515
butterfly,layer4,32,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9946845769882202
butterfly,layer4,32,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9946730732917786
butterfly,layer4,32,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.8214042782783508
butterfly,layer4,48,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9931482672691345
butterfly,layer4,48,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9931426048278809
butterfly,layer4,48,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9931203126907349
butterfly,layer4,48,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9614250659942627
butterfly,layer4,64,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9931947588920593
butterfly,layer4,64,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9931920766830444
butterfly,layer4,64,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9931714534759521
butterfly,layer4,64,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9864577651023865
