data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer2,1,PCA,SelectNSamples(N=∞),select-all,0.5
butterfly,layer2,1,GradPCA,SelectNSamples(N=∞),select-all,0.5
butterfly,layer2,1,PRCASortAbs,SelectNSamples(N=∞),select-all,0.5
butterfly,layer2,1,PRCAPosDef,SelectNSamples(N=∞),select-all,0.5
butterfly,layer2,16,PRCAPosDef,SelectNSamples(N=∞),select-all,0.8615000247955322
butterfly,layer2,16,GradPCA,SelectNSamples(N=∞),select-all,0.8093929886817932
butterfly,layer2,16,PRCASortAbs,SelectNSamples(N=∞),select-all,0.7658472657203674
butterfly,layer2,16,PCA,SelectNSamples(N=∞),select-all,0.5682264566421509
butterfly,layer2,32,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9832794666290283
butterfly,layer2,32,GradPCA,SelectNSamples(N=∞),select-all,0.9775018692016602
butterfly,layer2,32,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9631103873252869
butterfly,layer2,32,PCA,SelectNSamples(N=∞),select-all,0.939939022064209
butterfly,layer2,48,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9849583506584167
butterfly,layer2,48,PCA,SelectNSamples(N=∞),select-all,0.9849541783332825
butterfly,layer2,48,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9849321842193604
butterfly,layer2,48,GradPCA,SelectNSamples(N=∞),select-all,0.9682477116584778
butterfly,layer2,64,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9883032441139221
butterfly,layer2,64,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9882884621620178
butterfly,layer2,64,PCA,SelectNSamples(N=∞),select-all,0.9866321682929993
butterfly,layer2,64,GradPCA,SelectNSamples(N=∞),select-all,0.9816290140151978
