data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer4,1,GradPCA,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9860746264457703
butterfly,layer4,1,PCA,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.8941538333892822
butterfly,layer4,1,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.5440442562103271
butterfly,layer4,1,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.5
butterfly,layer4,16,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9959797263145447
butterfly,layer4,16,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.994409441947937
butterfly,layer4,16,PCA,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9935681819915771
butterfly,layer4,16,GradPCA,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9929510354995728
butterfly,layer4,32,PCA,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9958103895187378
butterfly,layer4,32,GradPCA,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9930337071418762
butterfly,layer4,32,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9929895401000977
butterfly,layer4,32,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9929754734039307
butterfly,layer4,48,PCA,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9962762594223022
butterfly,layer4,48,GradPCA,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9931207895278931
butterfly,layer4,48,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9930852651596069
butterfly,layer4,48,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9930676221847534
butterfly,layer4,64,PCA,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9948195815086365
butterfly,layer4,64,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9931668043136597
butterfly,layer4,64,GradPCA,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9931652545928955
butterfly,layer4,64,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-2.74, 4.71])",select-10,0.9931100010871887
