coarse_label_name,fine_label_name,fine_label,coarse_label
aquatic_mammals,beaver,4,0
food_containers,cup,28,3
aquatic_mammals,dolphin,30,0
small_mammals,hamster,36,16
large_natural_outdoor_scenes,plain,60,10
large_carnivores,tiger,88,8
vehicles_1,bicycle,8,18
people,boy,11,14
flowers,rose,70,2
medium_mammals,fox,34,12
reptiles,turtle,93,15
large_omnivores_and_herbivores,cattle,19,11
fruit_and_vegetables,pear,57,4
trees,oak_tree,52,17
trees,willow_tree,96,17
people,woman,98,14
household_furniture,table,84,6
large_carnivores,bear,3,8
food_containers,bottle,9,3
medium_mammals,skunk,75,12
vehicles_2,lawn_mower,41,19
reptiles,lizard,44,15
large_omnivores_and_herbivores,kangaroo,38,11
fish,ray,67,1
household_electrical_devices,clock,22,5
large_man_made_outdoor_things,castle,17,9
fruit_and_vegetables,mushroom,51,4
vehicles_2,rocket,69,19
people,girl,35,14
large_omnivores_and_herbivores,camel,15,11
insects,caterpillar,18,7
large_natural_outdoor_scenes,sea,71,10
household_electrical_devices,keyboard,39,5
fruit_and_vegetables,orange,53,4
insects,beetle,7,7
reptiles,snake,78,15
reptiles,crocodile,27,15
large_natural_outdoor_scenes,forest,33,10
insects,cockroach,24,7
household_furniture,couch,25,6
food_containers,can,16,3
non_insect_invertebrates,crab,26,13
reptiles,dinosaur,29,15
large_omnivores_and_herbivores,chimpanzee,21,11
fruit_and_vegetables,sweet_pepper,83,4
vehicles_1,bus,13,18
flowers,poppy,62,2
vehicles_1,train,90,18
household_electrical_devices,telephone,86,5
fish,trout,91,1
non_insect_invertebrates,lobster,45,13
large_natural_outdoor_scenes,cloud,23,10
insects,butterfly,14,7
large_man_made_outdoor_things,house,37,9
household_furniture,wardrobe,94,6
food_containers,plate,61,3
vehicles_2,tractor,89,19
small_mammals,squirrel,80,16
large_carnivores,leopard,42,8
food_containers,bowl,10,3
medium_mammals,porcupine,63,12
flowers,tulip,92,2
non_insect_invertebrates,snail,77,13
household_furniture,bed,5,6
vehicles_1,pickup_truck,58,18
trees,pine_tree,59,17
large_carnivores,lion,43,8
fruit_and_vegetables,apple,0,4
non_insect_invertebrates,spider,79,13
flowers,orchid,54,2
fish,flatfish,32,1
trees,maple_tree,47,17
small_mammals,mouse,50,16
flowers,sunflower,82,2
small_mammals,rabbit,65,16
vehicles_2,tank,85,19
household_electrical_devices,lamp,40,5
vehicles_1,motorcycle,48,18
large_omnivores_and_herbivores,elephant,31,11
large_man_made_outdoor_things,skyscraper,76,9
fish,shark,73,1
people,baby,2,14
people,man,46,14
large_natural_outdoor_scenes,mountain,49,10
large_man_made_outdoor_things,bridge,12,9
non_insect_invertebrates,worm,99,13
aquatic_mammals,whale,95,0
insects,bee,6,7
household_furniture,chair,20,6
household_electrical_devices,television,87,5
vehicles_2,streetcar,81,19
aquatic_mammals,otter,55,0
medium_mammals,possum,64,12
trees,palm_tree,56,17
fish,aquarium_fish,1,1
small_mammals,shrew,74,16
medium_mammals,raccoon,66,12
large_man_made_outdoor_things,road,68,9
aquatic_mammals,seal,72,0
large_carnivores,wolf,97,8
